










Lissabon		CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=161394
Madrid			Von Emilio J. Rodríguez Posada - Museo del Prado 2016, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=50386583
Andorra la Vella	Von Kimdime69 - Eigenes Werk, Gemeinfrei, https://commons.wikimedia.org/w/index.php?curid=2918297
Monaco				CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=53548
Rom					Von Jebulon - Eigenes Werk, CC0, https://commons.wikimedia.org/w/index.php?curid=30683945
San Marino			Von Max_Ryazanov, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=29853995
Vatikanstadt		Von Diliff - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=2065989
Valletta			Copyrighted free use, https://commons.wikimedia.org/w/index.php?curid=208612
Tirana				Von Albinfo - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=46106125
Sarajevo			Von Julian Nitzsche - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=28195586
Sofia				Von Voventurestm - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=18876650
Athen				Von Thomas Wolf, www.foto-tw.de, CC BY-SA 3.0 de, https://commons.wikimedia.org/w/index.php?curid=45692823
Skopje				CC BY-SA 2.0 FYR Macedonia.jpg
Chișinău			Von User:Zserghei - Selbst fotografiert, Gemeinfrei, https://commons.wikimedia.org/w/index.php?curid=981691
Podgorica			Von Nije bitno... - Eigenes Werk, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=9002755
Bukarest			Von Contessa Binter - privat, Copyrighted free use, https://commons.wikimedia.org/w/index.php?curid=33483294
Belgrad				Von Orlovic - Eigenes Werk, GFDL, https://commons.wikimedia.org/w/index.php?curid=3216353
Ankara
Ljubljava			Von Berthold Werner, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=42746048
Zagreb				Von Jajaniseva aus der englischsprachigen Wikipedia, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=4284153
Budapest			Von Dinnye - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=7579040
Wien				Von Rudolf von Alt - The Yorck Project: 10.000 Meisterwerke der Malerei. DVD-ROM, 2002. ISBN 3936122202. Distributed by DIRECTMEDIA Publishing GmbH., Gemeinfrei, https://commons.wikimedia.org/w/index.php?curid=146280
Bratislava			Von Justraveling.com - http://www.justraveling.com/free-photos-7/, CC-BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=54693351
Prag				Von Stefan Bauer, http://www.ferras.at - Eigenes Werk, CC BY-SA 2.5, https://commons.wikimedia.org/w/index.php?curid=952840
Warschau			Von Reeksioo - Eigenes Werk, CC-BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=62115701
Berlin				Von A.Savin (Wikimedia Commons · WikiPhotoSpace) - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=30385316
Bern				Von de:Benutzer:Reaast - Eigenes Werk, Gemeinfrei, https://commons.wikimedia.org/w/index.php?curid=3427151
Vaduz				Von Rainer Ebert from Heidelberg, Germany - Vaduz, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=4050419

Amsterdam			Von Amsterdam Municipal Department for the Preservation and Restoration of Historic Buildings and Sites (bMA), Attribution, https://commons.wikimedia.org/w/index.php?curid=526337
Brüssel				Von Jean-Pol GRANDMONT - Eigenes Werk, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=9785723
Paris				Von Taken by Adrian Pingstone in June 2002 and released to the public domain. - transferred from the English Wikipedia, Gemeinfrei, https://commons.wikimedia.org/w/index.php?curid=52613
London				Von Diego Delso, CC-BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=35489767
Dublin				Von Hans-Peter Bock hpbock@avaapgh.de - Eigenes Werk, CC BY 2.5, https://commons.wikimedia.org/w/index.php?curid=1171911
Tallinn			Von Adbar - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=23519872
Vilnius			Von Lestat (Jan Mehlich) - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=4127057
Riga			Von David Holt - http://www.flickr.com/photos/zongo/4818695236/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=18529032
Oslo			Von Ralf Roletschek - Eigenes Werk, GFDL 1.2, https://commons.wikimedia.org/w/index.php?curid=35393274
Stockholm	 	Von Holger.Ellgaard
Helsinki		Von Hugo Almeida - Used with permission, prepared for Wikipedia by Jonik., CC BY-SA 1.0, https://commons.wikimedia.org/w/index.php?curid=33587
Kopenhagen		Von Malte Hübner - photo taken by Malte Hübner, Gemeinfrei, https://commons.wikimedia.org/w/index.php?curid=228967
Reykjavík		CC BY-SA 2.0 de, https://commons.wikimedia.org/w/index.php?curid=561430
Moskau			Von Alexandergusev - alexandergusev.com, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=15166688
Kiew			Von В'ячеслав Ол - Eigenes Werk, CC-BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=36139699
Minsk			Von Gruszecki - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=11739571
